,month,day,year,opponent,with_steph,with_klay,loss,point_diff_at_ej,quarter,type,mp,fg,fga,fg_per,3p,3pa,3p_per,ft,fta,ft_per,orb,drb,trb,ast,stl,blk,tov,pf,pts,box_pm,bb_ref_link,vid_link
1,11,23,2013,Portland Trailblazers,TRUE,TRUE,TRUE,8,3,Flagrant,15:28,1,4,0.25,0,1,0,2,2,1,0,3,3,0,0,0,0,4,4,7,https://www.basketball-reference.com/boxscores/201311230GSW.html,https://www.youtube.com/watch?v=nSRvzwqx_o0
2,12,25,2013,Los Angeles Clippers,TRUE,TRUE,FALSE,1,3,Flagrant,7:48,0,3,0,0,2,0,0,0,,0,0,0,1,0,0,1,2,0,-9,https://www.basketball-reference.com/boxscores/201312250GSW.html,https://www.youtube.com/watch?v=zk1fa17NQBY
3,6,11,2016,Cleveland Cavaliers,TRUE,TRUE,FALSE,10,4,Flagrant,42:14:00,2,9,0.222,0,4,0,5,8,0.625,1,11,12,4,2,3,3,4,9,14,https://www.basketball-reference.com/boxscores/201606100CLE.html,https://www.youtube.com/watch?v=W79bzbjOq_U&t=31s
4,10,27,2017,Washington Wizards,TRUE,TRUE,FALSE,-14,2,Technical,16:36,1,2,0.5,0,1,0,1,1,1,0,3,3,6,0,3,4,1,3,-14,https://www.basketball-reference.com/boxscores/201710270GSW.html,https://www.youtube.com/watch?v=yrpZJ8Vr3aA&t=2s
5,12,30,2017,Memphis Grizzlies,TRUE,TRUE,FALSE,-1,2,Technical,10:04,1,2,0.5,1,1,1,0,0,,0,0,0,5,0,0,2,2,3,0,https://www.basketball-reference.com/boxscores/201712300GSW.html,https://www.youtube.com/watch?v=GTe1aYsd-VQ
6,2,6,2018,Oklahoma City Thunder,TRUE,TRUE,TRUE,-19,4,Technical,30:31:00,2,4,0.5,0,0,,1,3,0.333,1,7,8,7,0,4,5,3,5,-13,https://www.basketball-reference.com/boxscores/201802060GSW.html,https://www.youtube.com/watch?v=LcBpt2PE1kQ
7,2,9,2019,Pheonix Suns,TRUE,TRUE,FALSE,-3,3,Technical,25:43:00,5,7,0.714,0,2,0,3,4,0.75,0,4,4,3,0,1,4,3,13,-16,https://www.basketball-reference.com/boxscores/201902080PHO.html,https://www.youtube.com/watch?v=YeCZ4Xyv9kI
8,11,11,2019,Utah Jazz,FALSE,FALSE,TRUE,-14,4,Technical,22:20,2,7,0.286,0,4,0,0,0,,0,7,7,4,0,0,1,4,4,-14,https://www.basketball-reference.com/boxscores/201911110GSW.html,https://www.youtube.com/watch?v=gIthMLYFGgY&t=5s
9,1,4,2020,Detroit Pistons,FALSE,FALSE,TRUE,-6,3,Technical,21:36,0,2,0,0,2,0,2,2,1,1,5,6,3,0,1,1,1,2,-11,https://www.basketball-reference.com/boxscores/202001040GSW.html,https://www.youtube.com/watch?v=iC3lWMdsV6A&t=11s
10,2,27,2020,Los Angeles Lakers,FALSE,FALSE,TRUE,-5,2,Technical,9:44,1,1,1,0,0,,0,0,,0,1,1,4,1,0,3,4,2,3,https://www.basketball-reference.com/boxscores/202002270GSW.html,https://www.youtube.com/watch?v=w9ONIoSCGsc
11,2,20,2021,Charlotte Hornets,FALSE,FALSE,TRUE,2,4,Technical,31:54:00,2,7,0.286,1,4,0.25,0,0,,2,5,7,3,0,2,1,3,5,-5,https://www.basketball-reference.com/boxscores/202102200CHO.html,https://www.youtube.com/watch?v=x6kKRDe-3NY
12,3,20,2022,San Antonio Spurs,FALSE,TRUE,TRUE,-4,3,Technical,18:13,1,3,0.333,0,1,0,2,2,1,1,5,6,5,0,0,2,4,4,2,https://www.basketball-reference.com/boxscores/202203200GSW.html,https://www.youtube.com/watch?v=uEce9FReHZg
13,5,1,2022,Memphis Grizzlies,TRUE,TRUE,FALSE,-1,2,Flagrant,17:01,2,3,0.667,0,0,,2,3,0.667,1,3,4,3,3,1,5,1,6,2,https://www.basketball-reference.com/boxscores/202205010MEM.html,https://www.youtube.com/watch?v=KH00XH49gOA
14,12,14,2022,Indiana Pacers,TRUE,FALSE,TRUE,-12,4,Technical,27:03:00,0,3,0,0,1,0,1,2,0.5,1,1,2,3,0,0,6,1,1,5,https://www.basketball-reference.com/boxscores/202212140IND.html,https://www.nbcsportsbayarea.com/nba/golden-state-warriors/draymond-ejected-after-second-technical-foul-vs-pacers/1392963/
15,1,4,2023, Detroit Pistons,TRUE,TRUE,TRUE,-5,4,Technical,30:05:00,2,4,0.5,0,2,0,0,0,,2,6,8,7,0,1,2,0,4,0,https://www.basketball-reference.com/boxscores/202301040GSW.html,https://www.youtube.com/watch?v=_tWRe0UX6NI&t=28s
16,4,17,2023,Sacramento Kings,TRUE,TRUE,TRUE,-4,4,Flagrant,7:18,3,6,0.5,1,2,0.5,1,2,0.5,0,4,4,5,1,0,5,5,8,-1,https://www.basketball-reference.com/boxscores/202304170SAC.html,https://www.youtube.com/watch?v=K2lZSpvHmhI&t=43s
17,11,11,2023,Cleveland Cavaliers,TRUE,TRUE,TRUE,-10,3,Technical,17:59,3,4,0.75,2,3,0.667,0,0,,2,3,5,4,0,0,1,3,8,-1,https://www.basketball-reference.com/boxscores/202311110GSW.html,https://www.youtube.com/watch?v=fEcWMe52YM4
18,11,14,2023,Minnesota Timberwolves,FALSE,TRUE,TRUE,0,1,Flagrant,1:43,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-2,https://www.basketball-reference.com/boxscores/202311140GSW.html,https://www.youtube.com/watch?v=LQb8dK4MC-E&t=11s
19,12,12,2023,Pheonix Suns,TRUE,TRUE,TRUE,5,3,Flagrant,17:12,1,3,0.333,0,2,0,0,0,,0,2,2,2,0,0,3,3,2,-15,https://www.basketball-reference.com/boxscores/202312120PHO.html,https://www.youtube.com/watch?v=qktx_T4AOPM
20,3,28,2024,Orlando Magic,TRUE,TRUE,FALSE,0,1,Technical,3:36,0,1,0,0,1,0,0,0,,0,3,3,1,0,0,1,1,0,-2,https://www.basketball-reference.com/boxscores/202403270ORL.html,https://www.youtube.com/watch?v=zg3iXP2D4Io&t=58s
